gen0,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,gen19,gen20,gen21,gen22,gen23,gen24
559375.8968464151,272700.9983051226,241047.6742202793,315259.5109409231,205710.8592853208,246977.56677896887,583017.0072157588,184301.7270883262,110886.04304603412,696693.2418223179,314229.38185530744,62012.011358291726,123299.83279916024,603258.1266228639,167235.1212722949,162555.5692919041,894555.6898072081,77038.7495695202,75761.57472373708,70644.87800956794,73165.69925057185,69456.20857783877,71681.07378388822,77883.34984339919,393753.42020470503
287091.60950116214,373889.44340880215,294141.79560509627,257608.66796624401,237399.33371301484,65364.63861832477,226128.12218322535,164451.1423248101,201976.68083742113,258976.83479436015,152059.26563157758,128896.39435020131,929762.5330278637,133522.64305687186,43361.232543836384,147581.22539425446,100927.95452633956,196491.71138390442,68742.81757889478,87043.7665023622,75042.2638089162,71054.45408407306,60462.8296073496,49026.749330639985,812065.9650822099
566995.0802996863,525415.3296030469,300381.5801231401,252203.3601884368,259508.53999121411,221325.7756281186,60038.02676131242,263814.7241663477,162416.48409851408,156790.69769838714,276001.1386462919,563408.9878027632,186230.03539766173,995326.6765922076,133157.79813676534,157064.46105079376,62459.70879108858,500000.0,399697.9223825877,89888.41865658222,60452.780208364806,82113.57158967959,68216.55110668251,73753.77846501919,42052.32217675551
532563.963060121,268294.9685504767,289758.57281006104,500000.0,156492.60318796552,373968.9172391324,53148.485468281375,891477.0057090626,136288.44388258897,105096.38818746891,500000.0,78564.96579375761,616593.2190192309,435721.64941181627,94902.58698899669,149755.88188241486,40371.377785450204,199451.13951344995,930296.0168042181,93181.48876755782,93730.98405696302,81923.7600279441,105468.95304773482,67720.28078592547,71861.15379344265
250620.62805187458,451071.026882975,336142.0423464187,165372.88583775144,263138.4398152561,162228.4526395712,732936.535238072,966981.718368685,500000.0,126139.54525707316,422515.03545790375,219586.6116785523,100666.54864162048,91379.61529066224,69539.53520496172,164623.27388332743,87831.03275101181,64308.879980894664,85861.42510126854,71925.452313523,91462.59896115889,311275.7079744968,75638.05372062114,61838.95422805981,104628.47226100278
267942.1640140539,228534.45734069962,365164.2394993219,214024.57089813083,290456.0264117766,136611.3808010026,297180.08515181224,384841.4563120143,114886.37253163994,207284.76454485065,173713.76571857117,156637.9861620729,1060519.6778299056,155596.1924578551,218872.93303118076,574050.9794584439,203723.61014811386,85399.76401940135,76361.6330419585,713103.2348090127,42566.59036303275,173722.06353771818,67934.4646814596,71609.6340159135,72766.9708493741
321524.0253773944,273457.17474318994,309559.7066879843,150540.60470309394,240575.88920613122,229600.38082832628,223315.21302072465,142514.74131935253,342910.8883157942,178181.34696424662,128393.72893643304,173732.26297153506,730901.2475004207,205428.04635202792,180962.90084202684,107347.56372453723,48628.9678122785,123173.22963905026,84846.09830242555,76323.82871340221,61662.221812095246,34242.48925480912,82827.17367086664,54304.330573964384,76126.82822580822
253878.38542368144,330570.8700824283,250265.25080542974,171244.09167386813,290786.34208453295,1147717.7908733124,162336.92077667383,148015.03557770728,543518.4793535576,150526.1173841917,157237.42636693368,224289.44353671634,69840.7639439393,153306.07922744757,135840.84546855983,232484.66590066178,347249.1767126978,181512.24274373282,119144.6388369812,125039.55474671003,68508.448171332,100962.43192335605,65117.11970051014,69658.00708279345,73700.23815887356
481744.99893771403,349299.91498512373,289622.35446070705,310127.78134580737,165372.88583775144,157265.50153256918,178608.0222954497,242682.21691578836,155042.66876487323,121027.81269266673,751429.2816604865,111412.45348844078,915291.2327916534,93268.99505418667,153947.16826994513,127023.2109528597,70951.22255473991,79793.23138240736,89807.77592420386,82213.70029557202,70657.4041325865,74081.59046505246,70274.94654888607,717367.1661633764,864865.6818025752
448298.82442317175,342148.85659549566,175513.92775200395,174257.4797831971,270099.58028559125,214024.57089813083,139062.8463519219,259773.81202929132,184117.789438499,203633.73615527226,295663.6086613388,69754.0109443867,770484.562733498,158279.3336853158,365063.84580085403,156071.90043357993,266633.16474428435,70258.54475233277,69338.77652818065,111297.24357264026,78116.70878861673,82200.61831106475,87193.41824768833,69026.68492445716,312600.4246316133
