gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,gen19,gen20,gen21,gen22,gen23,gen24
"[0.5116540648903448, 0.8103407628178922, 1.8883138443213094, 0.8192337963621819, 2.64535873819749]","[0.9597492639887883, 0.8334358171615387, 0.11496967131192819, 0.6854739873515125, 2.257234174569211]","[0.12062950486245987, 0.8246300278283974, 2.6985070805826847, 0.14038960863549016, 0.9842536343681383]","[0.9702884004793847, 0.850937146002521, 0.11138814504881636, 0.12352283387644318, 0.7035840739522187]","[0.7853351439532207, 4.781823100334644, 0.18178547923402635, 0.2082750470626768, 0.888206255502368]","[1.1655224297257278, 4.145964356380252, 0.17924622978722038, 2.2954861471069474, 4.007396772907587]","[1.090611688716973, 0.9670427917504799, 0.2783787112784309, 8.500631718430899, 1.5148607923256245]","[0.6827527027689343, 0.20710180729845803, 0.27766382508831694, 0.1287802754186428, 1.5148607923256245]","[0.4049024291136483, 0.8856833934610571, 0.11180298305631164, 8.220510565285796, 1.4190345303012308]","[1.090611688716973, 0.1872326100270872, 0.1840330511299621, 0.47335310018357196, 4.209399994717168]","[2.9964511611134044, 0.14654343705262227, 0.1718564637043972, 4.800833642801152, 0.40056195645883597]","[2.8192638633577314, 1.6537422411671412, 0.1138784191517907, 8.888390713976651, 4.039537090684556]","[0.3225229294813705, 0.8521930237642794, 0.1191674440411457, 7.093552276419675, 1.7464680538439052]","[0.33117902059340226, 0.762209025081708, 0.13865044988090297, 0.10906865034917222, 0.888206255502368]","[0.7516040092887389, 0.14173938145075896, 0.17727202096455533, 0.45877295388861994, 1.6564504393484945]","[2.3142392865813184, 0.13413821320639055, 0.1160076229768669, 4.688943508112517, 2.469382590284119]","[0.6827527027689343, 0.8911586892909319, 0.11086459825473136, 8.540237644846082, 0.9141346611363897]","[1.2363010137213275, 2.279215471726097, 0.1160076229768669, 8.14004682615475, 0.9180687182647197]","[1.079288850253248, 0.7108533895055243, 0.10065303163404556, 9.751045058222955, 0.45851651653448516]","[1.4278280991362007, 0.15108435098867595, 0.17142720378810464, 7.757807322473398, 1.115858205487247]","[1.007391081983328, 0.2037057669243632, 0.11140182847571214, 7.979344058417434, 1.0203152270226636]","[2.008353108692996, 0.9896706315518596, 0.23881267186486452, 5.735881211865592, 1.0102541493600015]","[2.1387889776457483, 0.9153318561416948, 0.23881267186486452, 6.505518199326615, 0.8488553456110047]","[2.0574170432966348, 1.0942823128221464, 0.10904323451755028, 8.249794131668999, 0.9508155764770214]"
"[0.11392313031325041, 2.4346956805977764, 3.7780069098822913, 1.5524542099651089, 0.5634627693690892]","[0.33793855562334973, 5.140653386702838, 0.7011836583464072, 0.1181681904964054, 0.7897671515809928]","[0.3773954187541551, 3.72073906036655, 1.195671966969891, 0.7350732594965622, 1.0666567801667128]","[7.596733699595981, 3.255942500764876, 4.726764843256152, 0.19807243196429022, 0.41234627596049733]","[3.3490285542936937, 0.800989153777181, 0.308543584320657, 8.803127315999065, 0.2707414759541734]","[5.856613104258357, 0.17886436664353572, 3.7571865295885223, 4.800833642801152, 0.5343000383285026]","[0.6094468899955091, 0.1872326100270872, 0.11345725312240897, 0.4461345066981862, 2.227836270383835]","[3.100679509765272, 0.9394782290150355, 0.38505619384254774, 8.749995443201579, 0.2707414759541734]","[1.144898588808921, 0.8960865541440428, 0.23759983467067275, 0.6854739873515125, 2.227836270383835]","[0.5382044119610173, 0.15836045813164445, 0.3034578969218118, 0.19236184224938555, 2.227836270383835]","[1.143546539204209, 1.0276212264680171, 0.2445789807554959, 7.751804631898352, 2.227836270383835]","[2.3142392865813184, 0.14173938145075896, 0.11138814504881636, 0.2842445859324405, 1.6564504393484945]","[1.2977496230685617, 1.1731246667025936, 0.10836572812848462, 4.742608046065235, 4.339257330015329]","[2.4377421418112553, 0.8082271110729863, 0.27766382508831694, 4.800833642801152, 0.4459438351343558]","[0.45958726407951683, 0.9670427917504799, 0.17971688301352526, 0.13484256506222667, 1.9038586137410252]","[1.1204578464520298, 0.22851109575957934, 0.1160076229768669, 8.14004682615475, 0.4603858326691229]","[1.1674425685750873, 1.7883336807158472, 0.14096245201653837, 0.1530870340770101, 1.5148607923256245]","[0.9430742104266574, 0.16323377875589323, 0.11140182847571214, 8.540237644846082, 1.0203152270226636]","[0.6333323000343752, 0.12898411695212975, 0.10744133880897687, 9.743895898177007, 2.3206802718225394]","[0.965862436824547, 0.7071993183993536, 0.1286882567536407, 9.196318436090083, 0.4459438351343558]","[1.0413974423997936, 1.006297268537535, 0.10144067367666022, 8.540237644846082, 1.0703028562843488]","[1.1107127549800873, 0.10651337767518458, 0.11899197584723524, 8.624162336994189, 0.5533728194100722]","[2.3066625203371203, 2.279215471726097, 0.11826078817089053, 7.882447129499442, 0.45851651653448516]","[0.8283351027766341, 2.279215471726097, 0.11826078817089053, 7.882447129499442, 0.45851651653448516]"
"[0.10846977266994097, 0.6109126597994746, 1.2254096497146327, 5.417863784641189, 0.33866366555680455]","[0.33793855562334973, 0.334268644091284, 0.7011836583464072, 0.1181681904964054, 0.7689052357187651]","[0.9597492639887883, 0.8658075029927055, 2.0034689200295808, 0.6033028169712451, 1.5312558603814663]","[0.8119193105151126, 0.850937146002521, 0.10293074731268233, 0.1540509363021149, 4.0418360695082525]","[0.271615212396523, 1.9435588251540385, 0.2063461185637916, 0.3433241002168777, 0.7897671515809928]","[3.3490285542936937, 0.850937146002521, 0.27766382508831694, 8.090785023872465, 0.2707414759541734]","[0.5244310620460786, 4.643689857737219, 0.16694161042606517, 0.18424575345326138, 0.9842536343681383]","[0.47885545508715327, 0.16323377875589323, 0.11304801363840611, 0.47460035046450516, 1.6564504393484945]","[0.5020146471201132, 0.15836045813164445, 0.19167119077825867, 0.16752768404891413, 2.257234174569211]","[0.43754936225846464, 0.1872326100270872, 0.3205415546721416, 0.7018694722123491, 1.058594618452131]","[4.060434876951712, 0.9227829956829269, 0.3091212856404515, 8.090785023872465, 2.7693697051865045]","[0.6094468899955091, 0.8021551292477272, 0.13865044988090297, 0.792459851876081, 1.3448362099363182]","[2.696569391706757, 1.296125496037756, 0.12407675496275059, 8.527440171615345, 2.6906683452749802]","[1.009696405268541, 0.12402577825984619, 0.2873804239045461, 7.908550474352534, 2.3441008566927515]","[0.38762047168797886, 0.20710180729845803, 0.14508092484513263, 0.6660621573403966, 2.3080478130370965]","[3.2633072029844845, 0.21648252598623585, 0.29291561382941395, 8.749995443201579, 0.26556644387891404]","[0.5036761566694533, 0.8020070755475053, 0.1023298680220072, 8.888390713976651, 1.523634647587703]","[2.4377421418112553, 0.21995659690534372, 0.1286882567536407, 5.276268240366497, 1.6564504393484945]","[1.0930510506643827, 0.8695158663852677, 0.10572295628429836, 8.202463301590136, 1.675402548693154]","[1.009696405268541, 0.6964412595404494, 0.1263015069001399, 9.629254134899666, 1.0102541493600015]","[0.965862436824547, 0.2528170024557479, 0.12264936585681911, 8.646414152220087, 1.4530748614269025]","[0.9983913277014433, 0.920365654066439, 0.20520271123744432, 9.66786821208452, 1.115858205487247]","[1.0600542137198825, 1.0878820338401665, 0.11852709149521377, 7.245840094376119, 1.1601762187245914]","[1.0600542137198825, 2.041470102422048, 0.13155647827835082, 7.921549106869983, 1.0015977625576802]"
"[0.3587648463190243, 5.591103069783184, 1.5607578635522974, 0.1810083942739456, 1.409612823803116]","[0.245669093867031, 5.724747304250667, 7.130250437809631, 2.2440327110632956, 1.261759562996322]","[9.275169449039355, 2.8140517989838196, 0.11496967131192819, 0.1432936190042113, 2.257234174569211]","[0.6094468899955091, 0.23926957337597174, 0.16562209779882708, 0.1218161839423895, 1.9306673969421946]","[0.12720372882412317, 0.13767114309547307, 1.4824524000769077, 1.7760178512874876, 0.51060947505295]","[3.3490285542936937, 0.850937146002521, 0.27766382508831694, 8.090785023872465, 0.32966192551355544]","[3.399407455419218, 0.5646250653100242, 0.2654144992568978, 8.090785023872465, 1.475182141573448]","[0.5020146471201132, 0.44314763630817633, 0.13865044988090297, 0.17705057120824758, 2.274191628317022]","[1.090611688716973, 0.9948646554741383, 0.11454343601486347, 8.14004682615475, 2.227836270383835]","[3.100679509765272, 0.9394782290150355, 0.13181049905962572, 8.749995443201579, 0.2707414759541734]","[2.4377421418112553, 0.13413821320639055, 0.16649073634902117, 4.800833642801152, 0.4603858326691229]","[2.7139116550437365, 0.8196477054929058, 0.1224267487427364, 0.19903978665059985, 1.4110721516089884]","[0.6333323000343752, 0.7382665662702426, 0.27766382508831694, 0.20407145105542984, 0.231696132848365]","[1.009696405268541, 0.7278366446462854, 0.1662725008077701, 8.888390713976651, 1.589093726491663]","[0.6827527027689343, 1.7883336807158472, 0.12742339636765687, 0.1530870340770101, 1.5148607923256245]","[2.4377421418112553, 0.7360510810274822, 0.27766382508831694, 4.249793107267797, 0.4459438351343558]","[1.0678521606051505, 0.9879456974190394, 0.10144067367666022, 0.1582193869776292, 1.5970464745407935]","[0.8789652608674474, 0.7143428095312163, 0.2223831707747403, 8.479352950625913, 0.4842037170286181]","[1.009696405268541, 0.920365654066439, 0.1306966734500758, 8.975268825333744, 1.675402548693154]","[0.965862436824547, 0.9392984210994116, 0.13772465512428445, 8.888390713976651, 1.6084080515726937]","[1.5410906490367582, 0.26823250848492824, 0.28413384256705604, 8.946913705858927, 1.0871925282588197]","[1.041073181262825, 0.16000096451777324, 0.1306966734500758, 6.592211525302817, 0.6781258338543876]","[1.273672925992638, 1.2727091542826088, 0.1039275610409309, 9.185921875093978, 0.9121787424645788]","[1.3476041613245335, 0.8817734002562778, 0.1286882567536407, 9.701167491192988, 0.8589663914346475]"
"[0.5646136278826535, 4.262927189912999, 9.60926785341245, 8.090785023872465, 0.10122059891182858]","[3.8010030769847925, 8.459189608699068, 1.866387308420519, 1.0211596081759067, 2.5881626562980995]","[0.19039544703743508, 0.13767114309547307, 0.16562209779882708, 0.1343850151385519, 1.8523504999440084]","[0.6094468899955091, 0.23926957337597174, 2.155661931504305, 0.447500093533255, 1.68008990974791]","[0.22649551689236622, 0.14654343705262227, 0.14092526742985106, 0.20314944266037835, 1.1540129579921476]","[0.41561878852189293, 0.3490789292170801, 0.10867714868536, 8.090785023872465, 1.2852827875066535]","[0.7724449512764627, 0.850937146002521, 0.27766382508831694, 8.090785023872465, 0.2707414759541734]","[5.767630957335904, 0.91461769682784, 0.11274747610493399, 0.1240667471900075, 0.8579528605295449]","[3.3490285542936937, 0.9227829956829269, 0.279276912992059, 8.090785023872465, 2.324323319600412]","[0.3844564499576445, 0.9670427917504799, 0.10397436475469923, 4.321550979208618, 2.227836270383835]","[1.009696405268541, 1.3520076642705672, 0.2783787112784309, 8.635155111501687, 2.469382590284119]","[1.009696405268541, 0.9392984210994116, 0.10144067367666022, 8.888390713976651, 2.469382590284119]","[2.652962024308191, 0.1478930978031877, 0.12580412571676894, 0.23221819431259047, 1.6564504393484945]","[1.2363010137213275, 2.2956462710733705, 0.1160076229768669, 8.14004682615475, 1.0102541493600015]","[0.3719006002686025, 1.0276212264680171, 0.21808476690150905, 0.12024820046212749, 2.7750112938365845]","[0.965862436824547, 0.22851109575957934, 0.10144067367666022, 8.888390713976651, 2.954945336655917]","[0.965862436824547, 0.22851109575957934, 0.10144067367666022, 9.247749662003187, 2.742389641028147]","[1.0678521606051505, 1.715805691793134, 0.1250537345990386, 7.642054207912501, 1.5219344621920339]","[1.9814340102444277, 0.8459129057327215, 0.1055134506584678, 8.162567115700282, 0.5533728194100722]","[1.2022732447042832, 0.7158082456063357, 0.115172614234234, 6.958880377628823, 0.6656788432849546]","[1.5410906490367582, 0.22248596280974683, 0.11709175299259583, 9.808654004910373, 1.0871925282588197]","[1.3263656335394585, 1.0878820338401665, 0.123543194140746, 6.885992821431558, 0.8824805356264719]","[1.2011454114792959, 0.9716211924766411, 0.10144067367666022, 9.737622173758078, 1.0925523369517014]","[2.3066625203371203, 0.12082073670692874, 0.15099728346494662, 4.094955083434277, 0.3890900627646255]"
"[1.072049978571741, 0.850937146002521, 0.29990614757950323, 0.1886174952979425, 2.227836270383835]","[0.4273059811467548, 0.28672301330198097, 7.538949048440016, 0.11562757006638842, 0.6416927287165082]","[1.0995505356293722, 0.850937146002521, 0.11257453325405746, 0.6175699655878566, 1.0059699757889085]","[0.33793855562334973, 5.447995238272258, 0.8034367830103081, 0.6789884922596238, 0.7897671515809928]","[0.47695092201459344, 1.3520076642705672, 0.1334258349313728, 0.6854739873515125, 2.257234174569211]","[0.4233588931323004, 0.16323377875589323, 3.675801382485378, 0.7018694722123491, 0.9842536343681383]","[3.3490285542936937, 0.850937146002521, 0.2841652503661441, 0.20605443891125794, 0.888206255502368]","[0.6291544903056341, 0.1872326100270872, 0.2783787112784309, 0.4886712310203318, 1.5284650043130885]","[0.5382044119610173, 0.1872326100270872, 0.3034578969218118, 0.47335310018357196, 4.209399994717168]","[1.2196016264132006, 0.20320510123567057, 0.11429665528164797, 0.10571060099699821, 0.9359736495204201]","[0.5542267369845987, 0.4305096722033405, 0.10139199398691309, 0.4886712310203318, 1.6361632408251399]","[3.3490285542936937, 0.22121896405168393, 0.28452649745115055, 4.800833642801152, 1.9331171285640583]","[0.7795435348249421, 0.14173938145075896, 0.11086459825473136, 0.45877295388861994, 1.6564504393484945]","[1.1401961651187469, 1.8126827427154044, 0.10865013653349852, 0.22072090026767388, 1.7036876223486448]","[1.232224025525269, 1.6425372399875489, 0.10144067367666022, 0.6272203611930869, 2.9145788458483657]","[0.597117914310836, 0.8021551292477272, 0.10144067367666022, 0.9426033658450472, 1.2506038789721663]","[1.009696405268541, 0.20710180729845803, 0.14508092484513263, 8.888390713976651, 1.5148607923256245]","[1.3136609553285463, 1.0332433452565102, 0.10908079763738691, 7.73419713329464, 1.3999196618861922]","[0.8724568723409045, 0.7158082456063357, 0.14092526742985106, 4.882539378466205, 2.4297031068845674]","[2.3142392865813184, 0.10767754670180818, 0.11899197584723524, 7.979344058417434, 0.5533728194100722]","[1.1816569919441218, 0.5842129711783635, 0.28413384256705604, 9.576273216820107, 1.3999196618861922]","[0.9430742104266574, 0.2037057669243632, 0.11140182847571214, 8.540237644846082, 1.0013943183561729]","[0.906337045153899, 1.006297268537535, 0.10144067367666022, 8.540237644846082, 1.0703028562843488]","[1.507813452699258, 0.14945046321840538, 0.15653361707072827, 7.462303107681185, 1.105097650890332]"
"[0.1890459476543492, 9.138898167581047, 0.414900201239731, 0.44431993692584315, 4.671357688826333]","[0.6637343705407183, 1.5510943754208202, 2.550884082983629, 1.5191066104103674, 3.62283565253652]","[0.8204368038644857, 0.5646250653100242, 0.1747325864142141, 0.1858390766052027, 1.292897410005336]","[0.3612035850135016, 4.2402006108157275, 0.16694161042606517, 0.7334661933455224, 2.6604307354261665]","[1.1655224297257278, 0.12286026531931264, 0.17924622978722038, 0.5372175033798976, 1.630093198958593]","[0.7724449512764627, 0.16340035220680982, 0.2783787112784309, 0.3329422521019877, 4.077951058316114]","[1.1655224297257278, 0.3414640677290714, 0.17761675830726947, 4.728528976564808, 3.864568082681301]","[1.0995505356293722, 0.8313853146316331, 0.12296487343252731, 0.6409578071906958, 3.092481934289812]","[0.34304346132018687, 0.1260960234192838, 0.19032366992702043, 0.13930201086180252, 3.7493110293837635]","[1.144898588808921, 1.0276212264680171, 0.2445789807554959, 7.751804631898352, 2.227836270383835]","[0.5382044119610173, 0.3561948935657721, 0.3034578969218118, 0.7821275629159029, 2.227836270383835]","[0.525313347429473, 0.9436335145105904, 0.1191674440411457, 8.090785023872465, 1.7464680538439052]","[0.38762047168797886, 1.9321605635267183, 0.139193967479234, 0.6660621573403966, 1.205870359896153]","[0.4153057170625868, 0.8196477054929058, 0.1023298680220072, 0.6854739873515125, 1.523634647587703]","[1.0600542137198825, 0.7668632731654188, 0.1055134506584678, 7.886054756472313, 2.5688486206898777]","[2.4377421418112553, 0.7534399860111095, 0.27766382508831694, 4.800833642801152, 1.3448362099363182]","[0.941687583805486, 0.7722269211999719, 0.19899905517067462, 6.667118579157264, 1.7045277107297772]","[0.8916941178631251, 0.7158082456063357, 0.10641062231347417, 8.162567115700282, 2.4297031068845674]","[1.3136609553285463, 0.25192399943990473, 0.10908079763738691, 7.73419713329464, 1.3999196618861922]","[1.3476041613245335, 0.8817734002562778, 0.1286882567536407, 8.14004682615475, 0.947632205612277]","[2.3066625203371203, 0.8922627822303701, 0.23881267186486452, 6.505518199326615, 0.8488553456110047]","[0.9395438732778636, 0.1615691473988718, 0.11659437952630085, 8.14004682615475, 1.5219344621920339]","[1.9088472692288034, 0.6893810818790684, 0.120723606749309, 6.591310799857645, 0.4372534637832996]","[2.3066625203371203, 0.12082073670692874, 0.15099728346494662, 3.9966574265428156, 0.47751202924405634]"
"[0.11180993558193589, 0.3490789292170801, 0.418494815452705, 1.859933375718427, 1.1687191042913108]","[0.5237170146500255, 4.781823100334644, 0.6073499349871322, 0.7927496149056532, 2.7062215098040725]","[0.7724449512764627, 0.15858940213190095, 0.16694161042606517, 0.19807243196429022, 0.888206255502368]","[0.33793855562334973, 5.447995238272258, 0.7011836583464072, 0.6799472980282791, 0.7897671515809928]","[3.3490285542936937, 0.8437979766368077, 0.4181815793979039, 4.800833642801152, 4.007396772907587]","[4.059217429002105, 1.7723426343666273, 0.25334843829723347, 0.34396008646112086, 2.2164193072626386]","[0.3561379696054258, 0.1260960234192838, 0.16562209779882708, 0.1343850151385519, 1.8523504999440084]","[0.40814286929714566, 0.850937146002521, 0.11180298305631164, 5.235952942717453, 1.4190345303012308]","[0.1387572272830043, 0.7759905973844475, 0.10293074731268233, 0.5298825847221192, 1.5219344621920339]","[0.3967261908552883, 0.18024597756339875, 0.11709175299259583, 0.5212394032045025, 1.9970599377340488]","[1.0932063564896755, 0.15836045813164445, 0.11138814504881636, 0.19236184224938555, 2.227836270383835]","[2.1501422853642267, 0.13346104189393068, 0.19733694081049463, 4.800833642801152, 0.4459438351343558]","[0.3211525320552225, 0.13466023271878452, 0.1191674440411457, 0.6101937360512288, 2.469382590284119]","[0.9917469981672892, 0.762209025081708, 0.2437282941907991, 8.975268825333744, 2.4297031068845674]","[1.1691694145081013, 1.0062063196716848, 0.2595684132897716, 0.6870451746004824, 1.7756326377603602]","[0.597117914310836, 0.13966512757384136, 0.13504713429527063, 0.8388529452786123, 0.4459438351343558]","[0.37885695814531806, 0.12402577825984619, 0.12463913238697169, 0.7208715770233889, 1.5219344621920339]","[2.5200859727433023, 0.8428014583686084, 0.1138784191517907, 4.800833642801152, 3.04919902238753]","[1.0930510506643827, 1.541461518718358, 0.10144067367666022, 7.438374680091882, 0.45851651653448516]","[1.091365321543268, 1.2957617282996359, 0.1160076229768669, 7.882447129499442, 0.888206255502368]","[0.9312457257718434, 0.6372218129832715, 0.10065303163404556, 8.324851975275475, 0.48771563564948034]","[0.8283351027766341, 0.9392984210994116, 0.10616665346001407, 8.249794131668999, 0.9508155764770214]","[1.1826023712699605, 0.2037057669243632, 0.11140182847571214, 8.59423592441601, 1.0203152270226636]","[1.3547390120275735, 1.0290633699202671, 0.1286882567536407, 7.882447129499442, 0.8412769178091093]"
"[0.6637343705407183, 2.8082566172765913, 5.679722630746572, 0.2731738616234478, 3.62283565253652]","[1.7820025403377606, 5.356639822518962, 8.747615995405335, 0.5551024643722778, 1.2422106544124227]","[0.9597492639887883, 0.1770805522659938, 2.261431468906048, 0.9917279417464774, 0.45071149382945114]","[0.19039544703743508, 0.13767114309547307, 0.16562209779882708, 0.1343850151385519, 1.8523504999440084]","[0.40814286929714566, 0.44314763630817633, 0.10293074731268233, 0.447500093533255, 1.6564504393484945]","[0.38857906115334295, 0.8334358171615387, 0.12491338190521394, 0.4504002552965701, 4.0418360695082525]","[0.7724449512764627, 4.781823100334644, 0.6073499349871322, 0.1302034452431061, 0.888206255502368]","[0.6094468899955091, 0.20121145083015798, 0.12400027506423211, 0.46614346570793214, 1.5148607923256245]","[0.6647216667766397, 0.8196477054929058, 0.1224267487427364, 0.21752290395428944, 1.4360174286000262]","[0.5020146471201132, 0.4305096722033405, 0.1421578133777469, 8.803127315999065, 1.8119821780273226]","[0.3225229294813705, 0.7872226671071768, 0.23879363691002878, 0.4769148786416819, 1.7036876223486448]","[0.34437926169238764, 1.6537422411671412, 0.11138814504881636, 8.888390713976651, 0.670063462733921]","[2.795136269130686, 0.952309835000113, 0.12580412571676894, 0.23221819431259047, 1.6564504393484945]","[0.30085270988919666, 0.11868037467636686, 0.1299409979263345, 0.22072090026767388, 2.6894293726300313]","[0.8976164191933077, 0.13413821320639055, 0.10189070526178554, 7.451236257645998, 4.007396772907587]","[2.4377421418112553, 1.0620461928851066, 0.1484903675455857, 4.249793107267797, 0.4215221736374374]","[1.0930510506643827, 1.1260526112431326, 0.13718470052411447, 8.295159800362521, 1.336839597009161]","[0.9342500914036257, 0.805128215375343, 0.10065303163404556, 9.629254134899666, 0.45851651653448516]","[0.9395438732778636, 0.1552174909340675, 0.11659437952630085, 8.14004682615475, 1.5219344621920339]","[1.0205525753557583, 0.2100358275248694, 0.13170476803123718, 7.979344058417434, 0.8049259398173458]","[1.334093334953762, 0.24869109580339793, 0.10669440906878094, 8.365936524340086, 1.3999196618861922]","[1.3923895596271603, 0.15108435098867595, 0.18433073580906956, 8.303611288007492, 1.115858205487247]","[1.091365321543268, 1.5735991543826267, 0.14835439279752055, 6.492154213057806, 0.9508155764770214]","[1.0600542137198825, 0.7897015094307305, 0.20648321227281302, 7.979344058417434, 0.4372534637832996]"
"[2.637325617123796, 1.5510943754208202, 2.002918134388613, 0.24215150461434715, 2.621798943146369]","[0.24521247146647368, 1.7723426343666273, 0.2063461185637916, 0.34396008646112086, 3.8211225283883308]","[0.47885545508715327, 0.8334358171615387, 0.11496967131192819, 0.6854739873515125, 2.257234174569211]","[0.610082334345718, 0.20320510123567057, 3.8180914530693175, 1.2171409471089247, 1.1788999227382144]","[1.0995505356293722, 0.850937146002521, 0.11257453325405746, 0.6175699655878566, 1.0059699757889085]","[1.2196016264132006, 0.13178754825980132, 0.17924622978722038, 4.800833642801152, 4.007396772907587]","[0.24521247146647368, 6.012349171863811, 0.19338744968738822, 0.27904530203239436, 1.0541369824179228]","[0.40814286929714566, 0.8334358171615387, 0.11180298305631164, 0.65555357440458, 1.4190345303012308]","[0.6256967047180072, 0.21139607922182768, 0.11708820896894, 0.49528654753958645, 4.203879494374288]","[3.3490285542936937, 1.8126827427154044, 0.2780544383986432, 0.17705057120824758, 2.274191628317022]","[0.9702884004793847, 0.15108435098867595, 0.11690832605408198, 8.167305980146581, 1.1060975853983808]","[2.8192638633577314, 0.37679065693920333, 0.11274747610493399, 0.5298825847221192, 4.296099830795779]","[0.6291889588897523, 0.1478930978031877, 0.2821263183584806, 0.46988742793400406, 1.4072275843626192]","[1.2363010137213275, 1.8126827427154044, 0.1214085423417191, 0.7682720712387476, 2.563382322320107]","[0.47885545508715327, 0.6846873731953831, 0.16649073634902117, 0.25994690795979314, 2.227836270383835]","[1.1026009161770869, 1.8126827427154044, 0.1198504087671068, 0.5886170854594788, 2.099872046450723]","[1.385444530310681, 0.23848328285319315, 0.10669440906878094, 7.882447129499442, 0.888206255502368]","[1.1003303324782945, 0.22851109575957934, 0.11154673550740478, 7.646371140260809, 1.0102541493600015]","[1.262665233897242, 0.21698304433438653, 0.1286882567536407, 7.171993012513734, 0.4603858326691229]","[1.0673507174937624, 0.7071993183993536, 0.11840719912452953, 7.114995699618378, 1.3810232400811397]","[1.2926626512777522, 1.208635207485754, 0.10908079763738691, 8.749995443201579, 0.5533728194100722]","[1.0930510506643827, 0.7108533895055243, 0.11374089428041602, 9.751045058222955, 0.4459438351343558]","[1.091365321543268, 0.14650784061631034, 0.10616665346001407, 7.882447129499442, 0.9911417397065241]","[1.9814340102444277, 0.14482545593995397, 0.10226042815637293, 7.914726470216434, 1.1798203054316123]"
