,AP 1,AP 2,AP 3,AP 4
0,181.29130840541305,181.46977390103655,181.40780594401417,181.42872121813707
1,181.6287369305598,181.77332741405064,181.9451581798205,182.02779127536542
2,180.83361457582996,180.96344923243635,181.07458806153113,181.08625808080797
3,180.83361457582996,180.96344923243635,181.07458806153113,181.08625808080797
4,180.21221872912324,180.25179290062488,180.2879153009128,180.46438794156893
5,183.19321998512055,183.1290479651808,183.33149752292184,183.4406486304215
6,189.27546302598145,189.48719822767362,189.50088688033884,189.5075125231465
7,181.28778168728869,181.30430095824806,181.278888674982,181.556117569015
8,180.1867691007771,180.26075283723924,180.25911552990397,180.44690608215979
9,180.30707843619322,180.5361055484135,180.61573393763956,180.58280694396444
10,186.0785752214316,186.11332731935283,185.954887241508,185.85649380155382
11,180.66883574887487,180.73303783574295,180.8600425695838,180.75937422183097
12,186.77420801069363,186.71487986481986,186.82853840167627,186.8423169021994
13,182.5384219642129,182.5428454482593,182.6462435721553,182.93657279050103
14,183.2463595147427,183.3227967368033,183.3910053119273,183.36124316079258
15,186.6518708854134,186.74822505886993,186.70778142508152,186.9371867581549
16,182.5656846294869,182.73892676958064,182.8044496952566,182.95953237508047
17,186.6518708854134,186.74822505886993,186.70778142508152,186.9371867581549
18,182.59970200606043,182.39983838544606,182.7895604973005,182.46671143200228
19,183.36254053525175,183.50062555415695,183.61515450108482,183.52734948323086
20,180.16409109383596,179.88382927005068,180.0073193770079,180.1703657300627
21,181.67333775072112,181.36267715039548,181.5380171100103,181.51833593597166
22,183.19076383015835,183.28014144614724,183.2807477812305,183.3032851246262
23,183.13666476381033,183.36250601763015,183.23461647689487,183.20749180025496
24,183.00856520227717,182.9427480205685,183.12601189820793,183.07834381634848
25,181.0223188258534,181.03794360151426,181.05258191299777,181.20039708734612
26,181.06752455973393,181.13546066289643,181.09708233249285,181.062004280338
27,180.5981054928828,180.48395814790968,180.68550686989283,180.71845496640344
28,184.92684765378183,184.8400434469853,184.88964220464504,184.93325833844665
29,184.9934454201761,184.99538419837688,184.99571512638727,185.00593914358888
30,181.66712887027984,181.85112404771303,181.81182251014366,181.7945277307972
31,180.16409109383596,179.88382927005068,180.0073193770079,180.1703657300627
32,182.8930308618936,182.95334262515053,182.94150604920833,183.09805830180994
33,180.9091697003814,181.0038604992052,181.04249574762366,181.0308095976916
34,180.16409109383596,179.88382927005068,180.0073193770079,180.1703657300627
35,184.9934454201761,184.99538419837688,184.99571512638727,185.00593914358888
36,180.60895148872103,180.6179896876987,180.59689685818603,180.49044193641112
37,182.47834714732113,182.69254631678655,182.63133231189227,182.80107647242585
38,181.60274457667032,181.73495369670638,181.60432904139657,181.70422619455576
39,183.58377125168312,183.6942877846492,183.38782002256858,183.64732147973564
40,183.00856520227717,182.9427480205685,183.12601189820793,183.07834381634848
41,180.25394872350964,180.31177612896295,180.25994052743908,180.35785481263247
42,182.52121227054272,182.32846372029746,182.54640406169142,182.46920879345953
43,188.91952876377005,189.05875951442965,189.0899979286935,189.06693093826607
44,181.13730416823032,181.06538139051884,180.99981434797428,181.04225551228365
45,181.91054206894572,181.99737980649127,182.0505971564944,182.16777952441316
46,186.5781521741837,186.50853143428048,186.5988045105778,186.62347276671971
47,183.25557297609987,183.25414729761815,183.4302543920801,183.55453067997632
48,181.19691146709783,181.13828130845081,181.0558419869849,181.1883995996809
49,190.61814624291483,190.81167890021447,190.91766006043963,190.95710518146007
50,183.57282646943196,183.7308078687514,183.79376086376692,183.8553376625482
51,185.28720164359027,185.34140395425175,185.25137658194103,185.45956487902413
52,182.00887190377992,182.12021151032354,182.18313583316353,182.1654564157161
53,181.40628675124313,181.43163744378955,181.39289645397798,181.38587607023373
54,185.97040404467066,186.15275192883348,186.18893464141615,186.30138507329548
55,182.88669966972208,182.92825611032117,182.98238414788625,182.9437347065682
56,182.7281271804269,182.6165256898928,182.7259876819826,182.85559246049434
57,184.28990796388726,184.34663193947847,184.5538705282388,184.32092530023237
58,185.85496506186004,185.95429493820336,185.94459370262848,186.09567000934976
59,182.5403352578281,182.5954529909709,182.73948548275598,182.5910788182914
60,189.24236740933944,189.1863128972402,189.0852402284006,189.23642711480306
61,183.16267372049694,183.05971788663157,183.17305429118483,182.9821640949949
62,190.7776496901729,190.7627690838998,190.9208718949701,190.84763152288633
63,182.46094932440806,182.48647844233585,182.28598798643884,182.23716079683845
64,184.63423544188683,184.75974718733983,184.83784707936388,184.98908002820554
65,182.88669966972208,182.92825611032117,182.98238414788625,182.9437347065682
66,182.88669966972208,182.92825611032117,182.98238414788625,182.9437347065682
67,190.6134809255453,190.7498235998446,190.76668650895294,190.91453965210212
68,179.91474864100346,180.01533068445428,180.0525892873054,180.20656595028368
69,182.46094932440806,182.48647844233585,182.28598798643884,182.23716079683845
70,180.7572170308243,180.70577667086798,180.85484252422748,180.7364501969273
71,182.13654491275932,182.0887881398179,182.17907734677124,182.2942499107944
72,186.0442462349356,186.04143441980705,186.1511965556847,186.20211316037694
73,182.40312262317426,182.47214493547722,182.60517577886299,182.49775460167166
74,189.24236740933944,189.1863128972402,189.0852402284006,189.23642711480306
75,179.83489737939706,179.9558203711473,180.10463370710931,180.00666341756732
76,182.57536400079934,182.62476389594622,182.60333587019932,182.64272051580974
77,186.66024302000542,186.68140858590425,186.8288360873505,186.74852083000224
78,184.26843043000864,184.19796698440973,184.26917456549518,184.29027092870456
79,180.7572170308243,180.70577667086798,180.85484252422748,180.7364501969273
80,180.9370117267862,181.1088976225393,180.98148228976356,181.0129079586618
81,181.60204358489284,181.63998431513664,181.54912425811108,181.6285188339948
82,180.60894083097986,180.68255378134393,180.7483115302689,180.76807309839887
83,182.19671225034972,182.29290208713815,182.46966660200542,182.39363731237108
84,181.01444732304074,181.1323273073168,181.11963319523488,181.20653724537442
85,185.42847823521964,185.64479828748176,185.67969760829897,185.5271425733763
86,181.20704204270285,181.295339605025,181.337923634768,181.32606041195504
87,182.13654491275932,182.0887881398179,182.17907734677124,182.2942499107944
88,180.05571408126346,180.1130122027306,179.94167192388068,180.06406232979725
89,182.13654491275932,182.0887881398179,182.17907734677124,182.2942499107944
90,186.9340389588721,186.85967009584715,186.67846838474475,186.66173158380752
91,183.8465876838909,184.05636227203502,183.90484083981482,184.02201500712727
92,181.60204358489284,181.63998431513664,181.54912425811108,181.6285188339948
93,180.5633888792383,180.68326025587805,180.56473746757365,180.4311224398225
94,184.26749201332711,184.55127816584854,184.52535425376118,184.4970138424983
95,181.76087417367302,182.03087904820654,181.8967515763868,181.93732915140527
96,183.60277349812478,183.67037264079693,183.845313908987,183.83649118261383
97,184.26843043000864,184.19796698440973,184.26917456549518,184.29027092870456
98,180.29810483541462,180.486416943329,180.1927442850474,180.46804242668168
99,182.14617770784344,182.41583912660099,182.28149105012585,182.34703531457126
100,182.57213950523936,182.61728202354425,182.6364138284648,182.7749127999632
101,180.56812532996145,180.96545170271736,180.96210481512048,180.817562732459
102,180.8643069133023,180.9179647767238,180.8582820816389,180.92021455177155
103,184.06315048557934,183.93758017147832,184.0671141291284,184.13911416442988
104,180.5042560849802,180.4942773334535,180.51057427978753,180.5002414641117
105,183.30502694279232,183.22835670150198,183.18508049929824,183.28116944079193
106,180.505680991505,180.65666207082188,180.83181386771207,180.82223950974185
107,191.48272216137943,191.48385112479332,191.68447400798732,191.60249961918498
108,180.56812532996145,180.96545170271736,180.96210481512048,180.817562732459
109,182.11434048403967,182.0690517969192,182.04390276238496,181.90160595931457
110,181.75193627546733,181.84640398469105,181.96659455699182,181.88113062030425
111,183.23414979393425,183.4589872007324,183.37577420884713,183.341185812204
112,183.10190841704002,183.23880285334826,183.25237209705506,183.26304695000317
113,184.67200629691538,184.80254230746107,184.82783734728605,184.83901038107115
114,185.54727804143883,185.51850554519194,185.69515571064244,185.84225046668917
115,184.05021169653273,184.13929692950524,184.21123971129987,184.23257022269854
116,180.70557756039202,180.65778619519256,180.7884304807601,180.8256273086613
117,184.02472412898052,184.02275630524355,184.01187185795948,184.1306856872602
118,186.33555916815519,186.30921010326563,186.59977953934163,186.45341549960995
119,180.7429589384708,180.56487424371437,181.0318258947584,180.92896571079473
120,183.2027714071788,183.2534360499675,183.2649271816813,183.298500644044
121,184.7483029204429,184.82322611976122,184.96058124783485,185.02785232328324
122,189.10916775535264,189.15212783641937,189.27317271920083,189.22573107054086
123,184.91018106140075,184.90115454974602,184.98093313832146,185.0707625315331
124,186.06986520118815,185.89118541749758,186.18106826617054,186.23593412576793
125,183.78052898139097,183.78908812179225,183.86542283691733,184.075867497937
