gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,gen19,gen20,gen21,gen22,gen23,gen24,gen25,gen26,gen27,gen28,gen29,gen30,gen31,gen32,gen33,gen34,gen35,gen36,gen37,gen38,gen39,gen40,gen41,gen42,gen43,gen44,gen45,gen46,gen47,gen48,gen49,gen50,gen51,gen52,gen53,gen54,gen55,gen56,gen57,gen58,gen59,gen60,gen61,gen62,gen63,gen64,gen65,gen66,gen67,gen68,gen69,gen70,gen71,gen72,gen73,gen74,gen75,gen76,gen77,gen78,gen79,gen80,gen81,gen82,gen83,gen84,gen85,gen86,gen87,gen88,gen89,gen90,gen91,gen92,gen93,gen94,gen95,gen96,gen97,gen98,gen99
9000.0,12000.0,7000.0,6000.0,4392.0,9000.0,4026.0,6000.0,4026.0,6010.0,4150.0,4238.0,3374.0,3444.0,3516.0,3604.0,3462.0,4128.0,4812.0,2410.0,2794.0,3198.0,3514.0,2392.0,2708.0,7000.0,2568.0,2602.0,2532.0,2866.0,3006.0,2410.0,2496.0,2198.0,2338.0,6000.0,2972.0,2374.0,2108.0,1916.0,2920.0,2144.0,2426.0,3302.0,2830.0,2180.0,2792.0,2846.0,2232.0,2320.0,1846.0,2932.0,2004.0,2286.0,1862.0,2162.0,1758.0,1828.0,1758.0,2722.0,1828.0,1880.0,1986.0,3268.0,1688.0,2688.0,2652.0,1846.0,1950.0,2862.0,1932.0,1898.0,1758.0,1792.0,1758.0,1828.0,1688.0,2688.0,1776.0,1688.0,1740.0,1828.0,1740.0,2792.0,1828.0,1688.0,1792.0,2074.0,1652.0,1916.0,1652.0,1950.0,2004.0,1792.0,2020.0,2286.0,1968.0,3090.0,2480.0
8000.0,9000.0,7448.0,5974.0,4238.0,6000.0,3444.0,4374.0,6000.0,4306.0,4256.0,5024.0,5638.0,4006.0,3848.0,4428.0,3146.0,2760.0,2848.0,2920.0,2410.0,2954.0,2742.0,2990.0,3076.0,2724.0,2848.0,2794.0,2652.0,2320.0,2144.0,6000.0,2356.0,2232.0,2568.0,2268.0,2584.0,2828.0,2986.0,2356.0,2932.0,3286.0,2090.0,1846.0,2268.0,2126.0,2074.0,2532.0,2038.0,3144.0,2198.0,2950.0,1898.0,2074.0,3004.0,2004.0,4198.0,1810.0,1776.0,1916.0,1740.0,4862.0,2004.0,1862.0,1968.0,1862.0,2004.0,1968.0,3828.0,2268.0,1862.0,1880.0,1968.0,1688.0,1740.0,1810.0,2074.0,1898.0,3286.0,1740.0,2688.0,2688.0,1688.0,1688.0,1828.0,2898.0,1688.0,1792.0,1792.0,1688.0,2546.0,2162.0,1776.0,1722.0,1828.0,4180.0,1792.0,2616.0,3688.0
8000.0,9000.0,10000.0,10000.0,9000.0,6000.0,6000.0,5338.0,3692.0,4024.0,8000.0,7098.0,3936.0,6024.0,3848.0,2690.0,4778.0,5604.0,2568.0,2990.0,3286.0,2532.0,2708.0,2690.0,2760.0,2286.0,2410.0,2920.0,2198.0,2338.0,2972.0,2480.0,2214.0,6000.0,2880.0,4302.0,2162.0,3144.0,2090.0,3776.0,2496.0,2038.0,3020.0,2616.0,2652.0,6000.0,2426.0,2708.0,2812.0,4338.0,1968.0,2392.0,2514.0,2338.0,2950.0,4338.0,4020.0,2162.0,4830.0,2690.0,2828.0,3058.0,1758.0,2758.0,2916.0,1828.0,1792.0,2810.0,1688.0,1792.0,1880.0,1846.0,1862.0,2792.0,2320.0,2056.0,2108.0,1862.0,1862.0,2902.0,1758.0,2616.0,1740.0,1862.0,2232.0,1828.0,2652.0,1880.0,2532.0,2546.0,1740.0,1846.0,3004.0,2740.0,1880.0,2410.0,1916.0,1968.0,2722.0
9000.0,4378.0,8000.0,7000.0,10000.0,6000.0,3938.0,3956.0,7378.0,6000.0,6726.0,4568.0,3250.0,3320.0,7000.0,2920.0,4234.0,3392.0,2602.0,2724.0,2990.0,2672.0,2568.0,2584.0,4338.0,3550.0,2496.0,7000.0,8000.0,2198.0,2584.0,3374.0,3074.0,2126.0,2074.0,2180.0,2568.0,2410.0,2286.0,3006.0,2444.0,2126.0,1968.0,2038.0,2584.0,6000.0,2480.0,3108.0,1880.0,2214.0,1828.0,2074.0,2916.0,2074.0,2108.0,3020.0,1862.0,1828.0,1846.0,1898.0,2090.0,5090.0,1916.0,1932.0,2670.0,1916.0,1776.0,1688.0,1758.0,1846.0,2004.0,1758.0,2598.0,1740.0,2862.0,1758.0,1828.0,2638.0,1898.0,1828.0,4862.0,3652.0,1722.0,1758.0,1688.0,1706.0,2758.0,2688.0,1688.0,1986.0,1828.0,1898.0,1722.0,5740.0,1828.0,1758.0,2038.0,3792.0,1898.0
10000.0,7000.0,9000.0,11000.0,4974.0,6000.0,6000.0,7832.0,4868.0,4238.0,4902.0,4114.0,5674.0,4498.0,2812.0,4954.0,5304.0,3812.0,3462.0,4110.0,2462.0,2848.0,5848.0,2672.0,2550.0,2392.0,2654.0,2462.0,3286.0,2410.0,2126.0,2056.0,2760.0,2286.0,4920.0,2108.0,2074.0,2162.0,2038.0,2760.0,2004.0,1968.0,2268.0,3126.0,2320.0,1986.0,2056.0,2496.0,2108.0,1932.0,1932.0,2144.0,1916.0,2074.0,1846.0,2898.0,1968.0,1846.0,3126.0,1968.0,3286.0,2090.0,1776.0,1722.0,1862.0,1880.0,1968.0,2652.0,1792.0,1740.0,1862.0,2638.0,1810.0,1722.0,1862.0,1740.0,1740.0,1706.0,2356.0,1776.0,1722.0,2688.0,1706.0,1828.0,1688.0,1688.0,1792.0,2722.0,2828.0,1828.0,1792.0,2090.0,2688.0,1758.0,1688.0,2214.0,2444.0,1740.0,2108.0
9000.0,10000.0,9000.0,7000.0,5744.0,7798.0,6974.0,6000.0,5904.0,4042.0,3812.0,3710.0,6866.0,3586.0,3812.0,3042.0,3024.0,6302.0,4232.0,3902.0,2778.0,2778.0,2602.0,2884.0,2462.0,2462.0,2760.0,4742.0,5320.0,2126.0,2426.0,2426.0,2126.0,2690.0,4268.0,2338.0,2286.0,2162.0,7000.0,2144.0,1932.0,3144.0,2758.0,3038.0,2320.0,2038.0,2056.0,2038.0,2090.0,1846.0,2126.0,1950.0,2056.0,2898.0,2090.0,2410.0,1916.0,3038.0,2652.0,1828.0,2286.0,2688.0,1740.0,1828.0,2020.0,1722.0,1950.0,1688.0,2828.0,2990.0,1916.0,2688.0,1758.0,2286.0,1722.0,1758.0,2444.0,1846.0,2532.0,1634.0,1758.0,1828.0,1758.0,1740.0,1828.0,2688.0,1688.0,1932.0,2862.0,1828.0,2392.0,2004.0,2528.0,1776.0,2898.0,1828.0,1950.0,3038.0,1616.0
9000.0,9000.0,9000.0,9000.0,6000.0,6000.0,6000.0,8000.0,4920.0,3954.0,4428.0,6956.0,7080.0,2954.0,2954.0,2742.0,2884.0,4098.0,2672.0,2954.0,2638.0,3110.0,5532.0,4006.0,2602.0,4462.0,2848.0,2690.0,2690.0,2690.0,2410.0,2286.0,2462.0,2794.0,2496.0,2108.0,1986.0,3108.0,2302.0,3426.0,2742.0,1968.0,2162.0,2038.0,2584.0,2108.0,3162.0,2090.0,2410.0,2532.0,2706.0,1862.0,4232.0,1950.0,2074.0,1898.0,1968.0,2740.0,1740.0,1950.0,1898.0,2916.0,3038.0,2758.0,1932.0,2810.0,2722.0,2214.0,1968.0,1810.0,1846.0,2986.0,1722.0,1986.0,1828.0,1916.0,2320.0,1810.0,1758.0,1722.0,1828.0,1792.0,1776.0,2020.0,2862.0,1810.0,1968.0,1776.0,2916.0,2616.0,2670.0,2532.0,1846.0,2880.0,1758.0,1828.0,1776.0,2090.0,1898.0
14000.0,7000.0,6000.0,9000.0,6000.0,5006.0,4006.0,4392.0,4482.0,4042.0,6816.0,3936.0,4496.0,3110.0,3428.0,2990.0,3320.0,3480.0,3778.0,2708.0,2654.0,3392.0,3672.0,3532.0,2672.0,2444.0,5302.0,2794.0,2602.0,2426.0,2638.0,2426.0,2480.0,2392.0,2568.0,2444.0,2302.0,2338.0,2410.0,2620.0,2232.0,4108.0,2444.0,1968.0,2392.0,1862.0,2954.0,2480.0,1986.0,2214.0,1828.0,1758.0,3004.0,1880.0,2794.0,1792.0,1810.0,2532.0,2812.0,2532.0,1968.0,1950.0,1986.0,1810.0,2198.0,1740.0,1758.0,1688.0,1722.0,2862.0,1846.0,1792.0,1862.0,1688.0,2180.0,2038.0,1950.0,2758.0,2758.0,2898.0,1758.0,1898.0,1722.0,1722.0,2794.0,1758.0,2126.0,1688.0,2598.0,1758.0,1722.0,2688.0,1898.0,1688.0,1968.0,1792.0,1758.0,1758.0,1758.0
6378.0,8920.0,10000.0,7832.0,6000.0,6692.0,4378.0,6000.0,5024.0,2936.0,4410.0,2972.0,6550.0,4656.0,3516.0,3656.0,3410.0,2724.0,3374.0,2830.0,3286.0,2760.0,2392.0,2778.0,2514.0,2338.0,3638.0,3480.0,3514.0,2356.0,3320.0,2180.0,2568.0,3004.0,3126.0,3126.0,2180.0,3426.0,2144.0,2302.0,2410.0,2514.0,2916.0,1968.0,2198.0,9000.0,1810.0,2320.0,3898.0,1828.0,2162.0,2090.0,1968.0,1968.0,3722.0,1792.0,1828.0,1986.0,1916.0,1758.0,2932.0,1880.0,1722.0,6000.0,1792.0,1758.0,2670.0,2688.0,1616.0,1898.0,2090.0,1898.0,1880.0,1758.0,1722.0,1950.0,1706.0,3828.0,1722.0,1986.0,1688.0,1740.0,1828.0,1792.0,2356.0,1792.0,1932.0,2688.0,1758.0,2758.0,2444.0,3126.0,1880.0,2108.0,2074.0,1862.0,2374.0,1722.0,2688.0
7000.0,9000.0,9000.0,6000.0,9000.0,5448.0,6000.0,3498.0,5094.0,8000.0,8000.0,3866.0,6462.0,3006.0,7654.0,2812.0,3902.0,3794.0,2638.0,3024.0,2902.0,2532.0,2620.0,2638.0,2550.0,2214.0,2654.0,2690.0,2356.0,2708.0,2356.0,5302.0,2004.0,2038.0,2462.0,2232.0,2496.0,2496.0,2374.0,2286.0,1950.0,2898.0,2916.0,2162.0,1986.0,1828.0,2038.0,1846.0,2126.0,2462.0,2584.0,1968.0,1898.0,1968.0,2444.0,2038.0,1898.0,1898.0,1776.0,1898.0,2758.0,1810.0,1722.0,2776.0,1740.0,1846.0,1758.0,1846.0,1932.0,1688.0,1846.0,1688.0,2108.0,1898.0,2776.0,1670.0,3338.0,1740.0,1828.0,1986.0,2004.0,2056.0,1688.0,2776.0,3688.0,1950.0,1722.0,1758.0,1758.0,1758.0,2074.0,2214.0,1580.0,1792.0,1968.0,1828.0,2108.0,2792.0,2792.0
