gen1,gen2,gen3,gen4
"[0.2700900571170289, 1.6714982188696001, 0.11075733367525781, 0.9478279379635515, 0.13283023966643331, 0.2251451507065861, 0.3973189496582837, 1.9464151956059126, 0.36675043470656304, 0.4250388540793504]","[0.10741585089799713, 0.7890452685392441, 0.22633749421902027, 0.37448440210562034, 0.5099300567933797, 0.14855885840500146, 0.38897607404103224, 0.33288383258344795, 0.2141958053657656, 0.6828938194335568]","[0.44090052852071177, 0.10444623331649798, 0.6134867679177965, 0.22248299048644818, 1.6648973526607145, 1.7583756518507232, 1.2506349327671824, 0.8030160142049367, 0.254645199054228, 1.7066439054161575]","[1.4225610880302337, 0.6994522623807481, 0.3279363778087766, 0.1679067734410966, 0.6467401367607548, 0.5432084607858328, 0.8527203918917781, 0.26699127081147206, 0.7195287824270737, 0.9314839754150298]"
"[0.5035838358181514, 1.1438484806977973, 1.0088689115433243, 1.012963031861139, 0.29670914399106885, 0.5652827539148211, 0.47627395649655035, 1.8341269805009788, 0.33950186715475295, 0.46947266002160626]","[0.888376731277941, 0.3881153478906665, 0.6244305485719825, 0.17073182126933484, 0.6972620459172842, 0.17954232830198258, 1.807398555940542, 0.39980458570113725, 0.42429829443546, 0.41214279500217027]","[0.7886550829526351, 0.7630409832530616, 1.0622429926914676, 0.5523140139723038, 0.41196446541840825, 0.21008360726213313, 1.8917800419847906, 0.937592091281424, 0.8046503937962234, 0.2675917989288494]","[0.4132916022573867, 1.1069934607118674, 0.7687059728949385, 1.564798850879551, 1.7979311864622451, 1.7058446982649527, 0.10303336336981922, 0.39980458570113725, 1.7834769249749558, 0.593985522544367]"
"[0.2923528343295292, 0.573056261462505, 1.4293283171252475, 0.6623740384549694, 0.5769691424212725, 0.2439621441937476, 1.2515922260048613, 0.3601935844645431, 0.6400371398614927, 0.11430820736742647]","[0.44090052852071177, 0.10444623331649798, 0.6134867679177965, 0.5523140139723038, 0.41196446541840825, 1.7583756518507232, 1.2506349327671824, 0.8030160142049367, 0.254645199054228, 1.7066439054161575]","[0.9086047300720637, 0.33367646698157416, 0.6244305485719825, 0.2712589339593268, 0.6972620459172842, 0.17954232830198258, 1.807398555940542, 0.441948396543979, 0.42429829443546, 0.29203958473828373]","[0.8982925407568491, 0.10376114496696807, 1.7752234318581164, 0.5382574862655722, 1.1790449489302526, 1.6581624195843425, 1.3256282478070338, 0.8030160142049367, 0.28806844774288654, 0.35067878064126917]"
"[0.7843511729533256, 0.1951122159824536, 1.6554774231542722, 0.7333518446692491, 0.12577166749861982, 0.11185411283178691, 0.5019378450454708, 0.4624096981602048, 0.6807560992379028, 0.22910267645892413]","[0.9958934011599796, 0.2541803437321552, 0.5365408227270948, 0.5994497388634107, 1.2960537091054363, 0.2729987407654692, 0.4481594823833403, 0.4909307817686788, 0.12886018145574846, 1.7624865047064073]","[0.5764925545558907, 0.35001192575792434, 0.4117173003196137, 0.17073182126933484, 1.2705870208980563, 0.46579382053474844, 0.10301854437747197, 0.1398687153605154, 0.12813328489841508, 0.41214279500217027]","[0.3601435977649825, 1.244274750374873, 0.7388111635831474, 1.2844853865665127, 1.2595676369781117, 0.16709724503225493, 0.15859533220418273, 0.21554814382941279, 1.558733540202405, 0.12385696743366871]"
"[0.9434749976452029, 0.41085260565984455, 1.9966479556838765, 0.16167075406679038, 0.8725261912222175, 1.7883138312770894, 0.23673914115811157, 0.136366160287801, 1.2091678342889582, 0.2354487080988831]","[1.8025149997039702, 0.9954016481425069, 0.4315730226930979, 0.1505275305335595, 1.1671879317662663, 0.6924997972922283, 0.24176344716690332, 0.611499011602672, 0.22302174449207904, 0.2858481031306525]","[0.8822838547220144, 0.5916822481433965, 0.3279363778087766, 0.16990127590183107, 1.8470756002351605, 0.43989126977115417, 1.1731863636024162, 0.17195691245274486, 0.6580696003623391, 1.0336595335057135]","[1.7796174017601956, 0.2640396821759702, 1.4153664298114963, 0.21631852773370877, 0.8881023533482235, 1.8583349626066785, 1.7221169731139911, 0.16159056740096034, 0.27614134452471517, 0.30712594560332035]"
"[0.35159961613408164, 0.9698307166205411, 0.6306368421675873, 0.22530890389271, 0.6234964004585923, 0.26476025918475116, 0.3709751163922374, 0.9929774644292299, 0.8814897598415997, 0.36956647096372647]","[0.2950456989564376, 0.9385750123042784, 1.3862186986598568, 0.14595115336728617, 1.0958714123543174, 0.4255012842344385, 1.5084910923339276, 0.6111161714711884, 0.10834692179648678, 1.365241330324963]","[0.6567142793318287, 0.3197630587291002, 0.44546343127734406, 0.14077812538058126, 0.31234464081366725, 0.8066870699123112, 0.30135382548175865, 0.26699127081147206, 0.7598610218580739, 0.7675074813296183]","[1.0721339481157062, 0.6944689028210539, 0.4315730226930979, 0.22248299048644818, 1.1989352958042623, 1.0216231258832682, 1.3683005422839223, 0.9082980226806752, 0.9121967964037514, 0.5258314740699916]"
"[1.7374285786654582, 0.8870268952778578, 0.4315730226930979, 0.14595115336728617, 1.1671879317662663, 0.4255012842344385, 0.24176344716690332, 0.6111161714711884, 0.10834692179648678, 0.2858481031306525]","[0.5206079464105575, 0.5072227005915925, 1.5327373043409491, 1.9259858696161463, 0.39679580732958025, 0.1760660306233743, 1.283739792207447, 0.9704893576082354, 0.1385390108677909, 0.5524659485672114]","[0.2853507445042991, 0.4072574779122565, 1.701631595557609, 0.2546750737282078, 0.20046729339590003, 1.0069904606519369, 1.944104288373707, 0.4814591950795021, 0.8814897598415997, 0.34707266449547025]","[0.4096587656095319, 0.25134575104625173, 1.4059027727594986, 0.2579253855198753, 0.9623559664800738, 1.7292111428639259, 1.704250661069634, 0.17445063206898867, 0.31156454105875314, 1.31371154619918]"
"[0.9374272903847153, 0.4173250144986938, 1.7460122151602828, 0.6303389185484246, 0.7090888186296856, 0.9859412784553934, 1.3683005422839223, 1.3985693311117815, 0.8253948448444738, 0.600104296123709]","[0.1330344107570594, 1.5149450196336667, 1.9354402950219158, 1.4477345040972351, 1.1617418479312722, 0.7429973994501429, 0.15080251642910997, 0.9119807942798208, 1.558733540202405, 0.17396623835851371]","[0.5900290815850229, 0.8440665368972584, 0.966230583365358, 0.22530890389271, 0.25330113175478974, 0.13944923022291686, 1.0296122166238848, 0.9929774644292299, 0.21464838133784997, 0.1765584110006914]","[1.2053201861135021, 0.9698307166205411, 0.7339732923382583, 1.0613744152629747, 0.6234964004585923, 0.26476025918475116, 0.32351787259295234, 0.9905170928592132, 0.1664860219273286, 0.7544141733133698]"
"[0.5934464116000238, 0.3071587262723702, 0.42541848164739704, 1.035911436374519, 1.8930109298063085, 0.6034386841047269, 0.18755958702436137, 0.604177744440686, 0.10070887705178867, 0.10559771795368635]","[0.24436715335147424, 0.4406725231088975, 1.3275166657869868, 0.10258282936359507, 0.3521043206720035, 0.12818455586438798, 0.5098917788979961, 0.12324492927153767, 0.8957246364568269, 0.7470029109576558]","[0.9831149057227107, 0.6018519971697956, 1.3275166657869868, 0.4613649471337675, 1.694884454214014, 0.12520232066652354, 0.10117155059232225, 0.538746429577739, 0.1801790897005666, 1.5047868787599235]","[1.2053201861135021, 0.10722330635869332, 1.134924658542311, 1.0613744152629747, 0.3986496365408647, 1.5981632388888096, 1.4763334766838647, 0.17445063206898867, 0.25846281824634315, 1.2565033185922312]"
"[0.24436715335147424, 0.13698919078431332, 1.2746566929729357, 0.10258282936359507, 0.3521043206720035, 0.12818455586438798, 0.5170527052842717, 0.12324492927153767, 0.4870741221770331, 0.7470029109576558]","[1.037013791346741, 0.150052217038553, 0.8243039022516719, 0.2625078515876443, 0.6063856567580753, 0.2934589731319048, 0.16145635720687454, 0.12366332807394186, 0.6289670368980272, 0.1431034776689776]","[0.7973486171549641, 0.6944689028210539, 0.4315730226930979, 0.22248299048644818, 1.1989352958042623, 1.2016296722226998, 1.3769666285691156, 0.937592091281424, 0.9121967964037514, 0.3611967572357284]","[0.5900290815850229, 0.43738778752886515, 1.1235463813158018, 0.27790553093229553, 0.2833659513111154, 0.13502453609014536, 1.040296746391781, 0.1434831385351254, 0.21464838133784997, 0.1765584110006914]"
